RegionName,California,Texas,New York,Florida,Illinois,Pennsylvania,Ohio,Michigan,Georgia,North Carolina,New Jersey,Virginia,Washington,Massachusetts,Indiana,Arizona,Tennessee,Missouri,Maryland,Wisconsin,Minnesota,Colorado,Alabama,South Carolina,Louisiana,Kentucky,Oregon,Oklahoma,Connecticut,Iowa,Mississippi,Arkansas,Kansas,Utah,Nevada,New Mexico,West Virginia,Nebraska,Idaho,Hawaii,Maine,New Hampshire,Rhode Island,Montana,Delaware,South Dakota,Alaska,North Dakota,Vermont,District of Columbia,Wyoming
11-Aug,306659,131105,256946,137586,162449,158469,110980,95013,121738,150123,294917,228690,229517,305281,112169,137557,127955,120634,252792,145323,165010,219941,113073,139990,144948,110134,209208,102140,245247,118316,105284,100438,116643,194860,136238,165891,88504,121064,142599,460428,184047,212081,228871,194699,219481,147548,255803,170130,226134,414675,193574
11-Sep,304995,131200,256500,137114,161889,158253,110709,95044,121465,149717,293443,228334,227880,304367,112302,137303,127676,120357,251621,145044,164389,219911,112760,139563,144815,109943,208665,102297,243606,118366,105311,100502,116527,194257,135468,165569,88529,121133,142471,458188,183835,211242,227432,194719,218320,147537,255856,170175,226043,414705,193939
11-Oct,303176,131222,256172,136872,160135,158061,110390,95103,121214,149193,292022,227851,226399,303078,112355,137339,127379,120019,250905,144830,163782,219962,112417,139116,144756,109750,207846,102303,241982,118402,105207,100591,116284,193650,134703,165323,88600,121331,142511,457181,183579,210955,226094,194848,217093,147631,256071,170305,226070,414042,193893
11-Nov,302454,131097,255676,136727,159241,157818,110117,95111,120915,148701,290285,227321,224942,301657,112347,137393,127121,119700,250334,144591,163063,220062,111996,138681,144658,109721,206973,102281,240857,118471,105128,100664,116031,193081,134066,165116,88727,121415,142846,454849,183220,210462,224278,194908,216163,147771,256225,170484,226359,413980,194022
11-Dec,301291,130929,255279,136616,157799,157522,109898,95121,120262,148217,288482,227042,223775,300329,112220,138326,126906,119286,249839,144226,162445,220239,111731,138552,144553,109732,205969,102158,239587,118543,104963,100690,115794,193371,133554,164947,88789,121346,143060,454319,182827,209913,222693,195034,215103,147892,256621,170689,226387,412341,194120
12-Jan,300564,130902,254810,136615,157032,157189,109620,95169,119776,147865,286876,226794,223050,299377,112068,139005,126832,118934,249039,143887,162004,220539,111678,138572,144542,109817,205305,102057,238230,118488,104790,100685,115764,193596,133422,164534,88825,120851,143214,453993,182179,209374,221560,195407,214010,147940,257233,171089,226327,413618,194710
12-Feb,300012,131137,254229,136664,155498,156862,109319,95193,119278,147602,285781,226909,222010,298399,111954,140269,126752,118723,248336,143508,161932,220895,111668,138832,144513,109882,204941,102050,236846,118417,104622,100716,115843,194077,133350,164169,88857,120284,143696,454810,181363,208789,220306,195840,212515,148041,257987,171637,226147,414634,195146
12-Mar,300186,131481,253706,136970,155133,156575,109120,95472,119350,147420,285098,227105,221705,298160,111945,141168,126773,118752,247900,143156,162153,221330,111659,138770,144671,109979,205262,102094,235787,118403,104448,100858,116002,194374,133205,163588,88908,120206,144289,456366,180634,208130,219217,196357,211834,148044,258914,172475,225912,417804,195602
12-Apr,300863,131776,253342,137444,154653,156409,109023,95798,119535,147438,284357,227401,221563,298212,112009,143371,126794,118950,247840,142902,162701,222073,111497,138770,144881,110105,205937,102263,234651,118526,104385,101117,116149,195079,133476,163337,88939,120483,145614,457612,180417,207618,218351,196693,211187,148144,259768,173351,225778,417566,195959
12-May,302378,132092,253290,138022,154645,156342,108894,96279,119935,147361,283627,227762,222515,298872,112115,146138,126905,119131,247936,142894,163181,223312,111453,138652,145158,110161,206876,102525,233530,118718,104351,101490,116183,196122,133945,163365,88916,120933,146862,460080,180468,207850,217843,197106,211291,148269,260604,174539,225714,417877,196576
