RegionName,Apr-96,May-96,Jun-96,Jul-96,Aug-96,Sep-96,Oct-96,Nov-96,Dec-96,Jan-97,Feb-97,Mar-97,Apr-97,May-97,Jun-97,Jul-97,Aug-97,Sep-97,Oct-97,Nov-97,Dec-97,Jan-98,Feb-98,Mar-98,Apr-98,May-98,Jun-98,Jul-98,Aug-98,Sep-98,Oct-98,Nov-98,Dec-98,Jan-99,Feb-99,Mar-99,Apr-99,May-99,Jun-99,Jul-99,Aug-99,Sep-99,Oct-99,Nov-99,Dec-99,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20
Hancock County,99684,99690,99774,99861,99943,100001,100108,100247,100432,100489,100589,100627,100895,101178,101313,101424,101439,101493,101659,101971,102360,102920,103325,103831,104198,104651,105188,105909,106732,107696,108288,108708,108802,109022,109337,109593,109901,110097,110394,110458,110888,111075,111618,111890,112558,113047,113711,114340,114968,115572,116171,116814,117201,117646,117816,118133,118213,118470,118524,118653,118527,118636,118705,119100,119274,119538,119746,120080,120380,120657,120964,121233,121490,121578,121748,121796,121914,121858,122024,122322,122771,123029,123358,123664,124211,124796,125285,125770,126380,127308,127994,128390,128584,128969,129303,129751,130150,130540,130858,131104,131479,131588,131892,132140,132601,133098,133505,133687,133671,133851,134191,134486,134604,134891,134872,135092,135158,135265,135282,135306,135729,135994,136333,136586,136932,137276,138024,138620,139386,139574,139981,139283,138585,137463,137022,136326,135589,134591,134000,132847,131355,130124,129421,130899,132004,133318,133450,133873,134296,134424,133787,133957,134243,135002,134966,134105,133291,132819,132168,131499,130485,130283,130124,129933,130009,129562,129215,128345,128005,127184,126835,126462,126153,125427,124748,124231,123661,122937,122411,121965,120558,119452,118674,118887,119450,119971,119701,118705,117629,117339,116778,117198,117433,118383,118256,117280,115895,114659,115388,116571,117611,117954,118197,117368,117788,116984,117393,117305,118204,119346,119488,119416,119350,119681,120304,121071,120962,120949,120625,121261,121382,121582,121277,121401,121210,121595,122399,123297,123801,124357,125166,124932,124247,122853,121987,120800,120523,119639,118233,116910,116876,117603,118151,119469,121526,123834,126214,128528,130450,131424,132575,133257,134131,134573,135031,135410,135223,135520,135352,135680,135960,137327,138702,140422,141346,141909,142373,142636,143063,143176,144168,144728,145173,145263,145629,146300,146916,147885,148965,150107,151259,152394,153082,153930,155008,156084
Wood County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92540,93834,95144,97567,99453,100843,101981,102942,103721,104126,104447,104637,104828,104785,104380,104004,104126,104688,105143,105489,105816,106331,106703,106923,106950,106899,106942,106736,106494,106188,106196,106390,106557,106740,106788,106927,107019,107048,106834,106547,106360,106302,106241,106013,105789,105612,105536,105450,105394,105297,105165,105042,104858,104674,104371,104037,103670,103322,103038,102833,102654,102550,102571,102634,102716,102680,102630,102620,102684,102674,102488,102137,101671,101279,100838,100545,100259,100155,100111,100051,99934,99836,99793,99755,99816,99792,99841,99768,99737,99639,99599,99575,99575,99513,99515,99564,99623,99659,99635,99605,99593,99592,99565,99516,99543,99610,99694,99772,99859,100026,100235,100517,100738,100971,101199,101486,101710,101975,102240,102549,102862,103165,103464,103761,104119,104441,104758,105081,105479,105827,106119,106365,106645,106902,107189,107430,107710,108097,108545,108985,109360,109793,110274,110787,111301,111813,112315,112836,113347,113803,114255,114686,115168,115645,116284,116940,117612,118218,118865,119574,120219,120804,121233,121702,122119,122650,123163,123740,124242,124729,125180,125602,126066,126574,127184,127768,128371,128869,129284,129631,130026
Floyd County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136280,136869,137515,138130,138501,138748,139042,139365,139288,139298,139202,139148,139155,138967,138540,138528,138772,139191,139598,139826,140412,140808,141285,141604,141852,142104,142214,142477,142577,142560,142327,142221,142432,142833,143071,143322,143406,143300,142924,142711,142939,143142,143297,143198,142667,141487,140527,139633,138812,138124,138357,138411,137586,136229,134962,134574,134069,134010,134037,134014,134335,134198,133122,131654,130677,130841,130995,130424,129732,128805,127908,127428,126773,126293,125868,126097,126374,126470,126379,126751,127433,128216,128680,128792,129163,129736,130745,131401,131973,131630,131467,131058,131118,130884,130900,130516,130270,129756,129196,128421,127966,128406,129231,129765,129901,130143,130606,131279,131518,131876,132108,132978,134068,134744,135345,135678,136400,137612,138760,140298,141382,143415,145585,147328,147573,147871,147852,148744,148656,148267,147959,147581,147916,147355,146860,146729,147518,148341,148873,149385,150667,152021,152818,153550,154079,154431,154842,155530,156622,157781,159034,160222,161215,162675,164470,166005,167491,169022,170457,171006,171591,172308,173332,173479,173485,173667,174338,175064,176042,177431,179193,180842,182042,183009,183655,184916,186170,186947,187192,187441,187417
Putnam County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46390,46449,46902,47835,48892,49720,50199,50683,51062,51512,51945,52493,53041,53793,54155,54173,54162,54442,55088,55446,55915,56294,56679,56812,56768,56931,57147,57341,57263,57271,57411,57814,58127,58315,58293,58222,58404,58534,58831,59088,59053,58830,58704,58862,59175,59472,60119,60922,61567,62213,62686,63338,64109,64965,65705,66404,67094,68003,68585,69383,70140,71071,72098,73114,74476,75902,77543,79059,80621,82150,83833,85320,87117,88856,90737,92632,94638,96910,98811,100609,102170,103606,105031,106219,107131,107646,107971,108284,108093,107397,106841,106466,106187,105664,104858,103896,102885,101959,100929,99456,97925,96633,95301,93562,91763,90084,88710,87450,86213,85140,84032,83065,82133,81051,79964,79085,78346,77652,76908,76339,75819,75302,74826,74483,74180,73893,73622,73327,72902,72382,71902,71296,70757,70230,69762,69307,68869,68599,68399,68258,68157,68082,68030,68060,68147,68186,68252,68306,68476,68612,68836,69106,69503,70074,70672,71317,71828,72423,73049,73707,74361,75011,75643,76281,76910,77623,78304,78956,79588,80213,80798,81351,81885,82525,83098,83615,84015,84412,84891,85430,86371,87215,88059,88511,89022,89533,89931,90359,90906,91541,92123,92579,92758,92965,93054,93337,93425,93397,93533,93770,94029,93952,93956,94124,94591,95262,96154,97363,98707,100033,101556,102963,104197,105234,106436,107471,107456,106887,106736,107314,108072,109010,109555,110584,111573,113335,114309,114954,115706,116982,118056,118688,119206,119724,120559,121171,122025,122540,123675,125214,127258
Bullitt County,94934,95400,95868,96389,96840,97017,97136,97457,97747,98206,98505,99126,99515,100015,100483,100870,101415,102406,103460,104348,105237,106109,106956,107305,107794,108211,108636,109083,109547,109980,110490,110709,111012,110790,111116,111395,112087,112801,113677,114554,115101,115440,115622,115968,116293,116957,117264,117775,118037,118459,118781,119124,119637,120115,120639,121246,121901,122675,123282,123814,124231,124635,124972,125241,125524,125888,126238,126501,126742,126801,127030,127189,127304,127507,127988,128638,129042,129316,129635,130028,130200,130325,130523,131094,131952,132453,132628,132697,133082,133599,133999,134488,135231,136202,137002,137416,137435,137606,137952,138348,138666,138940,139415,139829,140209,140354,140553,140923,141687,142443,143042,143419,143947,144558,144998,145184,145163,145241,145482,145807,145967,146023,146066,146308,146484,146560,146723,146991,147534,147976,148230,148273,148316,148553,148947,149298,149329,149281,149037,148994,148832,148832,148823,148827,148739,148541,148271,147993,147852,147798,147922,147953,148054,148038,148005,147776,147498,147131,146743,146306,145972,145592,145211,144863,144285,143758,143345,143385,143426,143470,143445,143377,143144,142984,142810,142589,142358,142132,141865,141460,141212,141023,140937,140899,140988,141036,141054,140987,141039,141062,141067,141059,140958,140984,140978,141047,141154,141252,141348,141445,141567,141666,141693,141620,141575,141501,141474,141409,141297,141220,141190,141357,141502,141646,141839,142161,142552,142865,143194,143579,143959,144331,144683,144930,145233,145675,146235,146719,147095,147465,147980,148475,149061,149525,150010,150535,151199,151762,152290,152663,153176,153732,154073,154424,154715,155271,155857,156734,157328,157925,158203,158536,158778,159214,160084,161103,161984,162781,163850,164432,164802,164940,165595,165542,165316,165230,166319,167551,168490,169146,169576,170487,170918,171838,172539,174629,176644,178575,179560,180524,181993,183878,186006,188139,191046,193871
Oconee County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156650,156592,156246,155580,155083,154691,154293,153574,153028,152828,153161,153666,154163,154256,154366,154576,155279,155789,156386,156575,156747,156645,156019,155036,153972,153068,152586,152320,150400,148624,146621,146496,146008,145248,144306,143708,143312,142957,142265,141382,141997,142684,143738,143803,143999,144165,143825,143150,142392,141750,141226,140617,139616,138555,137494,135422,133519,131836,131679,131440,131059,130699,130432,130262,130049,129962,129900,130936,131892,132823,132664,132634,132681,132762,132836,132977,133082,133112,133084,132987,132927,132835,132855,132833,132858,132879,132969,133110,133406,133781,134206,134441,134712,135074,135589,136187,136708,137363,137974,138623,139122,139549,139953,140212,140225,140296,140435,140795,141067,141197,141308,141290,141743,142369,143048,143872,144928,145635,146179,146307,146962,147420,147901,148354,148954,149521,149986,150210,150327,150674,150935,151309,151590,152038,152656,153250,152612,151972,151761,153195,154821,156441,157784,159339,160070,161104,161890,163055,164744,166329,167681,167934,168062,168179,168622,168938,169839,170421,171045,171319,171711
Bastrop County,93077,93625,93973,94377,94645,95003,95334,95580,95750,96135,96480,96773,96787,96900,97227,97640,98152,98459,98770,99174,99826,100097,100598,100738,101598,102033,102674,102897,103249,103665,104250,104872,105262,105776,106192,107011,107569,108082,108315,108903,109535,110319,110786,111256,111692,112173,112801,113401,114086,114800,115423,115822,116190,116686,117433,118285,119251,120239,120812,121354,121762,122291,122807,123203,123670,123930,124199,124364,124596,124845,125336,125728,126181,126737,127450,128400,128992,129638,130053,130483,130696,130872,131109,131417,131697,131712,131714,131631,131843,131947,132135,132224,132437,132441,132581,132698,133023,133275,133349,133355,133285,133229,133310,133565,133995,134886,135467,136103,136377,136993,137845,138814,139419,139419,139384,139811,140865,141604,142534,143377,144408,145138,146169,147138,148202,149541,151191,152596,153067,153305,153264,153259,153148,153541,153157,152917,153627,155919,157704,158169,157802,157977,158444,158975,159329,159464,159941,160293,160228,159306,158318,157948,158141,158227,158097,157993,157972,157773,157448,157075,156347,155345,154643,154409,154475,154378,154367,154205,154097,154013,153963,153905,153797,153682,153261,152755,152201,151731,151285,150959,150716,150468,150303,150222,150258,150306,150459,150622,150798,151013,151224,151398,151528,151685,151901,152114,152414,152733,153190,153657,154251,154779,155339,155925,156626,157428,158117,158826,159503,160327,161252,162270,163206,164223,165189,166318,167310,168338,169420,170513,171632,172692,173565,174352,175096,176084,177185,178235,179330,180327,181467,182796,184006,185112,186131,187339,188608,189276,190012,190656,191759,192772,193969,195883,197498,199069,199955,201261,202757,204575,206342,208144,209071,210315,211219,210460,211123,212127,215216,216514,217326,218870,221200,223714,226010,227673,228926,229958,229233,229086,229483,231509,232984,232228,230537,228830,228144,227718,227653,228383,229713,230400,229753,228716,228327,229256
Christian County,56056,56208,56349,56489,56629,56790,56950,57171,57420,57700,57871,58023,58101,58232,58358,58511,58653,58812,58992,59131,59259,59517,59907,60351,60734,61023,61341,61621,61958,62230,62490,62658,62789,62616,62555,62489,62757,63006,63290,63568,63763,63936,64111,64374,64677,65039,65332,65609,65762,65941,66100,66275,66488,66734,66993,67298,67602,68025,68314,68582,68729,68929,69111,69275,69436,69620,69811,69931,70020,70040,70167,70312,70542,70726,70906,71101,71266,71415,71520,71680,71841,72012,72180,72361,72525,72746,72980,73230,73434,73640,73850,74073,74323,74524,74692,74837,75052,75511,75964,76392,76635,76900,77273,77435,77630,77849,78260,78647,78813,78418,78167,77910,78201,78295,78550,79029,79517,80008,80236,80603,81149,81744,81978,82178,82418,82912,83134,83231,83245,83329,83376,83868,84418,85344,85999,86762,87031,87280,87269,87394,87420,87523,87771,86929,85904,84668,84429,84167,84070,83906,83974,83897,83908,83775,83624,83756,83925,84050,83831,83554,83273,82989,82722,82563,82482,82473,82456,82573,82681,82852,82884,82912,82864,82835,82801,82750,82609,82421,82233,82110,82057,82041,82063,82109,82241,82346,82465,82501,82560,82611,82701,82790,82859,82922,82983,83058,83129,83213,83287,83371,83464,83560,83590,83592,83575,83580,83592,83606,83604,83601,83616,83697,83779,83903,84103,84321,84536,84697,84849,85021,85217,85461,85721,85981,86237,86450,86620,86814,87050,87322,87605,87870,88148,88407,88683,88934,89220,89485,89806,90073,90363,90639,90967,91282,91584,91851,92078,92355,92724,93205,93602,94003,94330,94715,94984,95322,95625,95984,96346,96890,97238,97539,97709,98044,98325,98518,98687,98808,98921,99031,99213,99325,99529,99873,100335,100727,101044,101384,101762,102113,102457,102755,102976,103123,103247,103232
Augusta County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210174,210405,211013,212544,214132,214382,214147,214136,214336,214536,214753,215937,216651,217227,217253,216964,216450,217109,218211,218937,219470,219385,218927,217297,216505,216048,215614,214096,212512,211626,210905,210007,208665,207988,207568,206632,205060,203563,202258,201437,200732,200066,198995,197838,196676,195549,194338,193263,192540,191887,191207,190624,190155,189796,190254,190850,191578,191633,191756,191604,191254,190589,190275,189988,189827,189435,188776,187911,187122,186788,186663,187103,187507,188058,188028,187923,187617,187446,187321,187455,187663,187891,187870,187630,187435,187382,187560,187825,188131,188476,188678,188869,188963,189027,189149,189226,189442,189665,189962,190205,190630,190956,191263,191534,191951,192511,193184,193978,194631,194953,195131,195316,195493,195688,195950,196152,196390,196567,196599,196475,196348,196586,196965,197428,197698,198063,198442,198948,199338,199718,200202,200756,201380,201907,202425,202956,203601,204230,204807,205266,205744,206186,206708,207332,207993,208661,209428,210431,211406,212178,212704,213240,213726,214254,214776,215312,215701,216011,216698,217877,219289,220400,221327,222286,223435,224513,225458,226244,227038,227829,228196,227973,227473,227211
Surry County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98950,98640,97811,96900,95920,95806,95901,96310,96850,97396,98170,98898,99724,100461,101770,102801,104168,104812,105329,105506,105602,105939,106144,106584,106945,107348,107980,108566,109098,109249,109297,109446,109519,109624,109732,109840,110036,110263,110483,110682,110934,110830,110929,110990,111474,111458,111331,110982,110553,109974,109145,108464,107614,106996,106302,105466,104400,103819,103141,103111,102767,102790,102776,102890,103003,103044,102999,102981,102856,102653,102609,102267,102458,102521,102771,102460,102254,102108,102045,102062,102306,102419,102476,102215,101901,101528,101240,101248,101248,101305,101348,101419,101312,101254,101204,101460,101622,101786,101845,101950,102024,102027,102041,102076,102184,102350,102571,102820,103043,103251,103421,103623,103896,104288,104713,105171,105602,106032,106422,106732,107018,107286,107720,108185,108638,109005,109289,109681,110059,110477,110844,111255,111690,112174,112578,112988,113435,113914,114474,114680,115004,115289,115828,116297,117003,117706,118396,118826,119218,119583,119936,120495,121139,121905,122534,123185,123382,123662,123843,124404,124847,125336,125747,126166,126363,126813,127342,128090,128674,129139,129622,130045,130541,130975,131430,131816,132279,132456,132554,132446,132604
Madison County,82320,81807,81466,81200,81000,80775,80536,80271,80011,80263,80688,81200,81185,81108,81042,80968,80902,80815,80818,81090,81487,81248,80788,80268,80413,80728,80837,80943,81042,81371,81765,81920,81982,81951,81968,82157,82447,82870,83294,83762,84207,84592,84857,85107,85411,85973,86773,87513,88164,88549,89050,89546,90069,90619,91172,91869,92559,93314,93916,94460,94872,95460,96042,96637,97182,97688,98272,98921,99615,100306,101012,101800,102711,103607,104484,105143,105588,105929,106261,106627,107126,107775,108535,109157,109331,109388,109439,109809,110383,110978,111605,112130,112485,112817,113051,113443,113972,114545,114958,115280,115546,116005,116561,117089,117622,117712,117971,118243,119084,119780,120774,121577,122548,123416,124205,125069,125486,126269,126779,127660,127994,128760,129237,129929,130438,130936,131455,131773,132916,133747,134752,135006,135716,136119,136760,137311,138041,138680,139262,139920,140201,140425,140360,140300,139761,139174,138435,137643,136766,136001,135146,134243,133219,132540,131938,131466,130936,130422,129810,129219,128510,127793,127202,126744,126506,126194,126025,125904,125964,125948,126094,126176,126381,126388,126199,125873,125414,124992,124451,123968,123555,123318,123245,123261,123334,123375,123220,122963,122520,122082,121650,121308,121155,120916,121213,121479,122495,123681,125858,127787,129437,130709,132083,133370,133815,133848,132207,130844,128130,125721,122532,120458,119434,119171,118848,118605,118641,119312,120615,121520,122458,123321,123972,124046,123591,123018,122487,121616,120925,119969,118988,118204,117885,117515,117749,117890,118121,117432,116794,116549,117087,117857,118865,119744,120479,121091,121461,122051,122782,124044,125176,126035,125813,125504,125058,125105,124542,124790,125473,126786,127302,127916,128342,128920,129576,130434,131835,132961,135313,136924,138254,137624,136802,136163,136384,137016,137489,137832,137829,137896,137416,137186,137050,138100,139734,141142
Nassau County,95197,95336,95514,95700,95867,96026,96193,96453,96747,96680,96670,96640,97055,97481,98036,98592,99131,99655,100274,101016,101776,102747,103406,104196,104707,105550,106154,106801,107630,108605,109521,110074,110523,111751,113259,114821,115810,116620,117407,118299,119260,120276,121211,122147,123340,124135,125001,125763,126857,128234,129979,131549,132772,133856,135111,136732,138149,139616,140856,142186,143665,145014,146419,147884,149547,150967,152234,153287,154199,154962,156101,157292,158364,159253,159771,160549,160962,161720,162413,163324,164381,165216,165757,166277,167142,167715,168476,168681,169718,170497,171806,172776,174102,175515,177192,178703,180056,181626,182941,184935,186621,188873,190639,192977,195187,197935,200478,203258,205952,208926,212968,216709,220574,223617,226989,230015,232976,235693,238888,241724,244554,247343,250278,253016,255582,258260,260787,262491,263562,263950,264392,263504,262292,260875,259306,258940,258488,258560,257736,256922,256348,255799,253937,254902,256706,258065,256639,253116,249131,244737,240954,238010,235076,232114,229662,226162,222178,218484,215637,213301,211245,209515,208166,206591,205261,203980,202935,201680,200399,198989,198038,197336,196656,195646,194149,192646,190903,189553,188291,187081,185920,184929,184349,183894,183435,183074,182877,182752,182858,182884,182827,182776,182846,183143,183473,183812,184295,185074,186191,187847,189547,191306,192804,194412,196142,198002,199857,201494,202955,204294,205547,206968,208185,208925,209681,210478,211824,212751,213338,214601,215542,216925,217842,217926,218570,220359,222528,223924,223650,223676,224426,225058,226685,227558,228395,228865,228636,227497,227210,228319,230740,232086,232740,232872,233376,234434,236421,238651,240767,242809,243836,244729,245645,248069,250298,252589,253837,254708,255173,256307,258581,261649,264201,265853,266633,267743,269629,271891,273835,275681,277647,279036,279642,279784,280771,282409,284353,285482,286240,286799,288055,289502,290878,292316,293823,295328
Iberia Parish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74921,74244,73542,72080,70909,70493,70784,71509,72136,72772,73502,74301,75197,76098,77218,78634,79952,80477,80346,79799,79637,79489,79652,79911,80361,80746,81143,81710,82125,82321,82072,81814,81603,81822,81811,81754,81392,81358,81424,81560,81886,82361,83225,83943,84430,84610,84354,84195,83894,84004,83992,83996,83887,83816,83491,83180,82932,82933,83894,84916,86113,86514,86987,87233,87367,87179,87107,87037,87127,87088,86657,86189,85877,85727,85536,85388,85457,85945,86385,86887,87071,87235,87306,87404,87312,87358,87407,87687,87794,87688,87551,87496,87607,87866,88121,88317,88309,88357,88440,88467,88690,89011,89301,89375,89334,89585,89944,90490,91041,91540,92082,92364,92524,92588,92946,93371,93909,93521,93192,92605,92583,92412,92111,92048,92013,92062,91943,91807,91694,91975,92415,93105,93485,93819,94105,94523,94882,95125,95289,95638,96020,96577,96447,96165,95941,96240,96729,96936,97159,97458,97626,97651,97730,97720,98071,98295,98558,98531,98376,98386,98474,98510,98608,98779,99196,99600,100065,100485,100947,101339,101726,102052,102273,102472,102664,102784,102631,102424,102064
Monroe County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500539,501021,501981,504774,508455,511797,514591,517800,522012,525683,531000,536951,544054,549854,555333,559364,562438,565482,568975,571368,572234,573324,572421,571028,569351,570904,572375,572769,571960,572569,574054,576153,577711,580779,582430,582615,579281,575073,572605,574299,578575,581624,583697,585762,588635,589884,592083,596805,602499,608372,611970,613895,614272,614910,615803,616408,616489,616885,616776,614907,613072
Wagoner County,103714,103939,104097,104272,104488,104735,104979,105252,105568,105667,105923,106209,106619,107008,107427,107882,108324,108819,109404,109972,110555,111471,112019,112490,112775,113420,114319,115133,115950,116647,117311,117883,118337,118811,119563,120430,121263,121820,122146,122555,122948,123385,123598,124014,124509,124969,125335,125662,125898,126123,126325,126701,126852,126887,127045,127500,127975,128370,128472,128519,128728,128984,129520,129871,130325,130723,131006,130919,130782,130699,130916,131038,131075,131136,130922,130783,130725,130988,131382,131655,131973,132227,132569,132921,133384,133723,134140,134411,134766,134917,135063,135447,135852,136346,136580,136872,137269,137725,138058,138273,138566,139032,139537,139831,140132,140471,141041,141617,141606,141616,141907,142796,143427,144008,144503,145113,145467,145695,146079,146574,147666,148526,149244,149507,150214,150536,150881,151109,151898,152728,153136,153368,153342,153615,153777,154036,154551,155575,156724,157675,157995,158108,157873,157803,157650,157556,157508,157469,156119,154508,153012,152149,151470,150670,150570,150352,150313,150088,149826,149402,149405,149418,149248,148961,148727,148778,148678,148620,148415,148137,147819,147557,147532,147467,147207,146655,146089,145655,145194,144750,144415,144290,144277,144299,144220,144192,144356,144629,144898,144996,145075,145119,145166,145125,145086,145095,145202,145367,145460,145529,145611,145687,145748,145777,145840,145900,146049,146432,146878,147211,147068,146930,146793,146941,147018,147114,147252,147541,148098,149292,150488,151498,151917,152287,152620,152855,153131,153485,153731,153902,153372,151200,148867,147227,147587,148395,149061,149562,150312,151108,151829,151919,152179,152811,153407,153597,153556,153216,153314,153436,153635,153616,153787,154323,155117,156324,157755,158969,159485,159873,160193,160153,159216,158387,157791,158385,158989,159836,160293,160775,161061,161109,161203,161623,163065,164497,165662,165932,166126,165979,166122,166495,167426,168701,169910,171054
Grays Harbor County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99262,100955,102429,105383,107897,109914,111543,112976,114736,116571,118366,119930,121401,122593,123620,124437,125690,127413,129438,131439,132632,133449,134087,134720,135338,135566,136020,136369,136925,137501,138078,138463,138687,138782,138665,138673,138524,138288,137588,136905,135767,134674,133577,132999,132596,132050,131418,130643,129788,128928,127849,126670,125602,124430,123313,122036,120870,119932,119196,118104,117067,115987,115594,115269,114988,114720,114364,113928,113232,112422,111432,110617,109825,109237,108440,107734,107138,106714,106351,105987,105757,105586,105465,105439,105465,105514,105559,105536,105534,105544,105694,105895,106136,106449,106894,107466,108055,108602,109075,109571,110098,110607,111141,111688,112311,112914,113549,114082,114635,115159,115715,116146,116571,117007,117606,118207,118946,119685,120463,121295,122062,122895,123792,125235,126778,128311,129279,130188,130828,131858,132910,134239,135702,137298,138734,139560,140015,140553,141497,142802,144195,145183,146000,146455,147262,148213,149431,150545,151874,153227,154728,156054,157503,158949,160465,162249,163398,164637,165901,167861,169766,171456,173235,174713,176443,177968,179987,181598,183436,184751,185988,187131,188304,189654,190807,192255,193437,194889,195945,197276,198696
