Value
110.003
111.778
118.49
124.555
133.751
133.401
128.06
130.319
129.248
126.046
121.156
106.807
109.923
108.041
101.394
112.03
106.999
100
91.426
80.066
90.105
91.879
93.069
99.124
99.807
92.876
94.707
