Value
110.535
110.985
109.136
104.708
98.278
103.985
102.376
107.945
107.586
109.171
103.075
101.433
98.852
94.162
103.839
97.32
94.886
100
102.032
101.056
100.961
100.894
103.913
118.044
103.436
102.655
99.881
106.39
102.334
