Value
75.857
75.023
76.26
76.765
81.834
83.686
85.195
89.641
87.588
97.954
101.285
94.636
95.409
93.905
112.785
124.181
117.354
100
99.598
96.269
110.997
110.256
103.446
109.885
124.441
114.766
107.826
89.609
94.925
