Value
109.314
110.889
114.061
119.112
125.243
132.514
141.454
146.537
147.115
159.027
168.25
163.951
146.91
155.346
144.796
148.137
143.637
100
85.695
79.899
83.865
84.398
88.796
89.15
88.509
86.936
91.888
97.2
98.336
