Value
98.84
98.447
97.231
97.303
97.123
100.303
99.08
92
103.292
100.687
90.307
93.499
88.35
78.595
87.462
89.86
98.886
100
106.68
117.198
117.58
102.131
99.91
122.262
102.427
101.833
108.302
105.311
106.474
