Value
100.426
100.092
98.277
97.926
97.243
100.169
98.287
102.572
103.999
103.891
99.846
99.35
97.965
91.057
95.238
93.753
92.783
100
105.567
110.101
110.727
107.392
102.743
122.31
102.413
103.45
102.877
106.341
106.696
