Value
81.016
83.424
82.455
87.29
94.647
98.394
104.159
105.03
105.244
106.69
100.688
97.051
90.927
91.893
93.488
94.526
97.766
100
101.935
94.82
98.42
100.575
107.161
107.741
109.923
111.983
113.77
114.102
115.673
