output_barley
13340000
9440000
11780000
13000000
14300000
14000000
11400000
8550000
7500000
6400000
6460000
5830000
5325000
3712000
4500000
3780000
3575000
2560000
3300000
2970000
4350000
4725000
4400000
3150000
1825000
1595000
4500000
1450000
1794000
